benchmark_name,number_of_resources,number_of_supported_resources,number_of_ignored_resources,number_of_unsupported_resources,number_of_lambdas,number_of_ec2,average_graph_degree,number_of_constraints,number_of_basic_constraints,number_of_incoming_constraints,number_of_intrinsic_constraints,number_of_outgoing_constraints
350694608.yaml,8,0,1,7,0,0,0,0,0,0,0,0
350695651.yaml,4,0,4,0,0,0,0,0,0,0,0,0
350696066.yaml,11,2,5,4,1,0,0.0,3,3,0,0,0
350702760.yaml,5,3,2,0,0,0,1.3333333333333333,12,7,2,1,2
351863837.yaml,10,2,4,4,1,0,1.0,5,5,0,0,0
351926946.yaml,22,9,11,2,2,0,1.5555555555555556,43,33,5,3,2
351990479.yaml,5,0,2,3,0,0,0,0,0,0,0,0
352063910.yaml,27,4,12,11,3,0,0.5,7,7,0,0,0
352326614.yaml,26,9,11,6,2,0,1.3333333333333333,70,62,2,4,2
353115103.yaml,33,5,11,17,2,0,0.0,6,6,0,0,0
354725280.yaml,72,27,33,12,8,0,1.8518518518518519,117,80,21,6,10
354823866.yaml,41,16,23,2,5,0,1.75,80,61,9,3,7
355035084.yaml,30,5,11,14,2,0,0.0,6,6,0,0,0
355277404.yaml,17,2,7,8,1,0,0.0,3,3,0,0,0
355603666.yaml,43,14,19,10,7,0,1.2857142857142858,47,31,9,2,5
355747121.yaml,13,0,1,12,0,0,0,0,0,0,0,0
355923721.yaml,52,23,25,4,8,0,2.5217391304347827,115,85,16,5,9
355984815.yaml,17,2,11,4,1,0,0.0,3,3,0,0,0
355987786.yaml,6,0,1,5,0,0,0,0,0,0,0,0
356044384.yaml,21,9,9,3,1,0,1.3333333333333333,44,34,3,4,3
356047482.yaml,1,0,1,0,0,0,0,0,0,0,0,0
356601114.yaml,10,1,3,6,1,0,0.0,1,1,0,0,0
356601492.yaml,2,0,2,0,0,0,0,0,0,0,0,0
356737393.yaml,6,1,1,4,0,0,0.0,4,3,0,1,0
357090971.yaml,3,1,2,0,1,0,0.0,1,1,0,0,0
357235391.yaml,56,8,22,26,5,0,0.0,12,11,0,1,0
357263517.yaml,21,4,8,9,2,0,1.0,15,10,3,1,1
357284448.yaml,47,3,10,34,2,0,0.0,6,5,0,1,0
357295041.yaml,14,5,8,1,5,0,0.0,5,5,0,0,0
357492678.yaml,2,1,1,0,0,0,0.0,2,2,0,0,0
357716007.yaml,77,22,37,18,20,0,0.7272727272727273,46,37,8,1,0
358041447.yaml,21,1,14,6,0,0,0.0,2,2,0,0,0
358254660.yaml,1,0,1,0,0,0,0,0,0,0,0,0
358634584.yaml,9,2,4,3,2,0,1.0,4,3,1,0,0
358760276.yaml,20,5,7,8,4,0,0.0,6,6,0,0,0
359908058.yaml,3,2,1,0,0,0,0.0,6,5,0,1,0
360020626.yaml,1,0,1,0,0,0,0,0,0,0,0,0
360212765.yaml,23,8,13,2,1,0,1.5,29,21,4,1,3
360226237.yaml,14,5,6,3,3,0,0.8,13,9,2,1,1
360290310.yaml,64,2,16,46,2,0,0.0,2,2,0,0,0
360368673.yaml,2,1,1,0,0,0,0.0,2,2,0,0,0
360426464.yaml,47,6,11,30,2,0,1.3333333333333333,20,15,3,1,1
360668517.yaml,64,4,12,48,4,0,0.0,4,4,0,0,0
361073973.yaml,1,0,1,0,0,0,0,0,0,0,0,0
361139690.yaml,14,1,9,4,0,0,0.0,2,2,0,0,0
362000670.yaml,10,2,4,4,1,0,0.0,3,3,0,0,0
362298201.yaml,33,5,11,17,2,0,0.0,6,6,0,0,0
362393068.yaml,25,4,8,13,3,0,0.5,7,6,1,0,0
362615450.yaml,64,4,12,48,1,0,0.0,6,6,0,0,0
362620399.yaml,26,8,11,7,1,0,1.25,32,25,4,2,1
362923722.yaml,25,4,12,9,3,0,1.0,15,12,2,1,0
363317831.yaml,5,2,3,0,1,0,0.0,5,4,0,1,0
363327230.yaml,5,3,2,0,0,0,1.3333333333333333,12,7,2,1,2
363335690.yaml,24,11,11,2,2,0,1.6363636363636365,51,37,7,3,4
363348279.yaml,8,1,2,5,0,0,0.0,2,2,0,0,0
363481236.yaml,5,2,2,1,0,0,0.0,4,4,0,0,0
363882286.yaml,9,2,5,2,2,0,0.0,2,2,0,0,0
363899918.yaml,18,6,10,2,5,0,0.0,7,7,0,0,0
363943227.yaml,18,1,11,6,0,0,0.0,2,2,0,0,0
364241976.yaml,13,6,5,2,0,0,1.3333333333333333,22,16,3,1,2
364378810.yaml,3,0,1,2,0,0,0,0,0,0,0,0
364385115.yaml,11,3,5,3,1,0,0.6666666666666666,5,3,1,0,1
364991889.yaml,84,3,11,70,0,0,0.0,6,6,0,0,0
365026180.yaml,12,3,7,2,3,0,0.0,3,3,0,0,0
365289409.yaml,1,0,1,0,0,0,0,0,0,0,0,0
365535519.yaml,13,3,7,3,2,0,0.6666666666666666,6,6,0,0,0
365643641.yaml,6,1,2,3,0,0,0.0,4,3,0,1,0
365713917.yaml,47,2,6,39,1,0,0.0,3,3,0,0,0
366223393.yaml,15,2,5,8,1,0,0.0,3,3,0,0,0
366632612.yaml,1,0,1,0,0,0,0,0,0,0,0,0
366792027.yaml,24,8,10,6,5,0,0.5,17,12,2,1,2
366876965.yaml,9,2,5,2,1,0,0.0,3,3,0,0,0
366934705.yaml,19,9,6,4,4,0,0.0,22,18,0,4,0
367173984.yaml,14,1,4,9,0,0,0.0,4,3,0,1,0
367457714.yaml,11,0,5,6,0,0,0,0,0,0,0,0
367865920.yaml,29,10,13,6,2,0,1.4,36,25,7,2,2
368114646.yaml,72,14,34,24,11,0,0.14285714285714285,26,22,2,2,0
369461692.yaml,32,0,10,22,0,3,0,0,0,0,0,0
369934747.yaml,10,4,4,2,1,0,1.5,15,9,3,1,2
370029382.yaml,11,3,5,3,0,0,1.3333333333333333,13,10,1,1,1
370785195.yaml,25,4,9,12,3,0,0.5,7,7,0,0,0
370876103.yaml,78,2,19,57,2,0,0.0,2,2,0,0,0
371386389.yaml,2,0,1,1,0,0,0,0,0,0,0,0
371493339.yaml,3,1,2,0,0,0,0.0,2,2,0,0,0
371814394.yaml,2,0,1,1,0,0,0,0,0,0,0,0
371836719.yaml,12,4,6,2,1,0,1.0,14,11,1,1,1
372244093.yaml,1,0,1,0,0,0,0,0,0,0,0,0
372282343.yaml,42,1,8,33,0,0,0.0,2,2,0,0,0
372352825.yaml,6,1,4,1,1,0,0.0,1,1,0,0,0
372601112.yaml,4,0,3,1,0,0,0,0,0,0,0,0
373239521.yaml,28,10,12,6,7,0,1.6,35,28,5,1,1
373571269.yaml,39,7,15,17,4,0,0.2857142857142857,17,14,2,1,0
373727710.yaml,2,1,1,0,0,0,0.0,2,2,0,0,0
373991476.yaml,40,0,4,36,0,0,0,0,0,0,0,0
374063181.yaml,10,3,4,3,0,0,0.0,12,9,0,3,0
374322413.yaml,27,1,18,8,0,0,0.0,2,2,0,0,0
375024571.yaml,3,2,1,0,0,0,0.0,8,6,0,2,0
375206719.yaml,2,0,2,0,0,0,0,0,0,0,0,0
375475067.yaml,1,0,1,0,0,0,0,0,0,0,0,0
375888405.yaml,77,0,10,67,0,0,0,0,0,0,0,0
376213006.yaml,2,0,1,1,0,0,0,0,0,0,0,0
376292006.yaml,2,1,1,0,0,0,0.0,2,2,0,0,0
376975352.yaml,30,0,9,21,0,6,0,0,0,0,0,0
377053836.yaml,18,0,4,14,0,1,0,0,0,0,0,0
377841615.yaml,75,13,31,31,11,0,0.0,17,16,0,1,0
378439018.yaml,15,2,8,5,0,0,0.0,4,4,0,0,0
378778871.yaml,7,0,2,5,0,0,0,0,0,0,0,0
379327793.yaml,35,11,17,7,3,0,1.2727272727272727,40,30,6,2,2
379352573.yaml,14,1,5,8,1,0,0.0,1,1,0,0,0
380958878.yaml,6,2,3,1,1,0,0.0,3,3,0,0,0
381077782.yaml,35,0,4,31,0,0,0,0,0,0,0,0
382521024.yaml,25,5,11,9,5,0,0.0,5,5,0,0,0
383714940.yaml,32,0,3,29,0,1,0,0,0,0,0,0
383917222.yaml,31,13,14,4,4,0,1.5384615384615385,56,43,6,3,4
384029087.yaml,3,0,3,0,0,0,0,0,0,0,0,0
384424887.yaml,10,2,4,4,1,0,0.0,3,3,0,0,0
384627128.yaml,10,1,3,6,1,0,0.0,1,1,0,0,0
384628539.yaml,16,4,9,3,3,0,0.0,5,5,0,0,0
384763399.yaml,53,0,10,43,0,0,0,0,0,0,0,0
385386170.yaml,80,12,26,42,5,0,0.6666666666666666,43,37,2,2,2
385425446.yaml,1,0,1,0,0,0,0,0,0,0,0,0
385643469.yaml,27,6,11,10,4,0,0.6666666666666666,12,8,2,0,2
385985197.yaml,21,1,13,7,0,0,0.0,2,2,0,0,0
386782856.yaml,20,2,6,12,1,0,1.0,10,7,2,1,0
387334669.yaml,55,0,5,50,0,0,0,0,0,0,0,0
387440460.yaml,5,3,2,0,0,0,1.3333333333333333,12,7,2,1,2
387686499.yaml,6,2,3,1,1,0,1.0,5,3,1,0,1
388705004.yaml,39,14,23,2,5,0,1.0,47,34,5,3,5
388958216.yaml,55,2,9,44,1,0,0.0,3,3,0,0,0
388994638.yaml,1,0,1,0,0,0,0,0,0,0,0,0
389299690.yaml,17,4,8,5,2,0,0.5,7,5,1,0,1
389538044.yaml,6,0,5,1,0,0,0,0,0,0,0,0
389950455.yaml,48,16,21,11,1,0,1.75,85,65,8,6,6
390199290.yaml,16,5,8,3,3,0,0.8,11,11,0,0,0
390366740.yaml,39,14,23,2,5,0,1.0,47,34,5,3,5
390367593.yaml,15,6,1,8,5,0,1.6666666666666667,26,23,2,1,0
390391877.yaml,34,2,5,27,1,1,0.0,3,3,0,0,0
391090992.yaml,34,0,1,33,0,0,0,0,0,0,0,0
391513350.yaml,9,0,2,7,0,0,0,0,0,0,0,0
391981008.yaml,1,0,1,0,0,0,0,0,0,0,0,0
392880803.yaml,1,0,1,0,0,0,0,0,0,0,0,0
393269017.yaml,25,6,13,6,5,0,0.3333333333333333,9,8,1,0,0
393433786.yaml,11,5,4,2,1,0,0.0,12,10,0,2,0
393750230.yaml,55,0,5,50,0,0,0,0,0,0,0,0
394131909.yaml,27,4,12,11,3,0,0.5,7,7,0,0,0
394474321.yaml,17,2,7,8,1,0,0.0,3,3,0,0,0
394605266.yaml,8,0,3,5,0,0,0,0,0,0,0,0
394656388.yaml,15,5,8,2,1,0,1.2,17,13,2,1,1
394745088.yaml,5,1,4,0,0,0,0.0,3,2,0,1,0
394774438.yaml,104,42,52,10,13,0,3.0476190476190474,302,256,18,15,13
394932674.yaml,52,4,10,38,2,0,0.5,14,10,2,2,0
395015129.yaml,38,1,26,11,0,0,0.0,2,2,0,0,0
395137655.yaml,49,14,27,8,5,0,1.0,47,34,5,3,5
395161832.yaml,49,14,27,8,5,0,1.0,47,34,5,3,5
395535724.yaml,15,5,8,2,1,0,1.2,17,13,2,1,1
395638407.yaml,16,3,7,6,2,0,1.3333333333333333,14,11,2,1,0
396242295.yaml,2,1,1,0,0,0,0.0,4,3,0,1,0
396426554.yaml,3,1,2,0,1,0,0.0,1,1,0,0,0
396523569.yaml,57,13,32,12,12,0,0.9230769230769231,24,21,2,1,0
396739085.yaml,23,3,14,6,1,0,0.0,5,5,0,0,0
397440897.yaml,46,0,3,43,0,0,0,0,0,0,0,0
397619416.yaml,17,5,9,3,1,0,1.2,17,13,2,1,1
398091226.yaml,15,6,1,8,5,0,1.6666666666666667,26,23,2,1,0
398098756.yaml,25,6,13,6,5,0,0.0,7,7,0,0,0
398201250.yaml,23,9,9,5,2,0,1.3333333333333333,41,28,7,3,3
399254850.yaml,6,2,2,2,0,0,0.0,3,3,0,0,0
399506148.yaml,27,10,15,2,3,0,1.0,37,28,3,3,3
399521785.yaml,2,1,1,0,0,0,0.0,2,2,0,0,0
399993194.yaml,73,25,40,8,8,0,0.96,78,54,10,4,10
400006564.yaml,15,5,8,2,1,0,1.2,17,13,2,1,1
400051629.yaml,6,0,3,3,0,0,0,0,0,0,0,0
400102942.yaml,16,2,5,9,2,0,0.0,2,2,0,0,0
400582445.yaml,16,2,7,7,1,0,0.0,5,4,0,1,0
401789742.yaml,52,2,6,44,1,1,0.0,5,4,0,1,0
402885097.yaml,11,4,6,1,2,0,0.5,13,10,2,1,0
403045668.yaml,28,1,22,5,0,0,0.0,2,2,0,0,0
403266557.yaml,15,6,1,8,5,0,1.6666666666666667,26,23,2,1,0
403379683.yaml,1,0,1,0,0,0,0,0,0,0,0,0
403455740.yaml,5,1,3,1,1,0,0.0,1,1,0,0,0
403471387.yaml,66,0,7,59,0,0,0,0,0,0,0,0
404483141.yaml,49,0,7,42,0,0,0,0,0,0,0,0
404767562.yaml,19,4,10,5,2,0,2.0,20,14,4,1,1
404975558.yaml,59,0,6,53,0,1,0,0,0,0,0,0
405194555.yaml,1,0,1,0,0,0,0,0,0,0,0,0
405225323.yaml,40,0,1,39,0,0,0,0,0,0,0,0
405461073.yaml,3,1,2,0,1,0,0.0,1,1,0,0,0
405641517.yaml,15,5,8,2,1,0,1.2,17,13,2,1,1
406057032.yaml,1,0,1,0,0,0,0,0,0,0,0,0
406058166.yaml,59,7,15,37,2,0,0.8571428571428571,22,18,1,2,1
406144998.yaml,2,1,1,0,0,0,0.0,2,2,0,0,0
406696632.yaml,32,9,17,6,5,0,0.2222222222222222,17,16,0,1,0
407140621.yaml,14,1,6,7,1,0,0.0,1,1,0,0,0
407226090.yaml,24,3,8,13,3,0,0.0,3,3,0,0,0
407460900.yaml,50,3,8,39,3,0,0.0,3,3,0,0,0
407473235.yaml,17,7,8,2,1,0,1.4285714285714286,24,17,4,1,2
408044325.yaml,15,6,7,2,2,0,0.6666666666666666,19,15,1,2,1
408338553.yaml,16,1,9,6,0,0,0.0,2,2,0,0,0
408452282.yaml,1,0,1,0,0,0,0,0,0,0,0,0
408718821.yaml,8,3,4,1,1,0,1.3333333333333333,9,5,2,0,2
409514215.yaml,11,0,5,6,0,0,0,0,0,0,0,0
409517592.yaml,5,0,1,4,0,0,0,0,0,0,0,0
409729983.yaml,1,0,1,0,0,0,0,0,0,0,0,0
410550116.yaml,1,0,1,0,0,0,0,0,0,0,0,0
410550221.yaml,12,4,6,2,1,0,1.0,14,11,1,1,1
410675362.yaml,22,4,8,10,2,0,1.0,20,14,4,2,0
411442402.yaml,14,5,7,2,1,0,0.8,18,14,1,2,1
411808376.yaml,52,23,25,4,8,0,2.347826086956522,119,86,18,6,9
412137026.yaml,15,5,8,2,1,0,1.2,17,13,2,1,1
412263374.yaml,50,4,8,38,1,0,0.5,6,5,1,0,0
412625967.yaml,5,0,4,1,0,0,0,0,0,0,0,0
412771870.yaml,5,0,1,4,0,0,0,0,0,0,0,0
412866528.yaml,1,0,1,0,0,0,0,0,0,0,0,0
413204303.yaml,16,3,11,2,3,0,0.0,3,3,0,0,0
413360994.yaml,17,4,11,2,3,0,0.0,7,6,0,1,0
414302056.yaml,15,6,1,8,5,0,1.6666666666666667,26,23,2,1,0
414576366.yaml,64,5,14,45,2,0,0.0,8,8,0,0,0
414757451.yaml,3,0,3,0,0,0,0,0,0,0,0,0
414846798.yaml,38,1,3,34,1,0,0.0,1,1,0,0,0
414849543.yaml,36,3,12,21,1,0,1.3333333333333333,9,5,2,0,2
415039617.yaml,109,8,39,62,6,1,0.0,10,10,0,0,0
415290300.yaml,8,2,5,1,2,0,0.0,2,2,0,0,0
415664186.yaml,50,11,16,23,4,0,1.8181818181818181,55,38,9,4,4
415754803.yaml,30,4,10,16,3,0,0.0,5,5,0,0,0
415817127.yaml,17,4,11,2,3,0,0.0,7,6,0,1,0
415846844.yaml,17,1,5,11,0,0,0.0,2,2,0,0,0
416036339.yaml,3,0,3,0,0,0,0,0,0,0,0,0
416481246.yaml,2,0,1,1,0,0,0,0,0,0,0,0
416535369.yaml,48,2,8,38,1,0,0.0,3,3,0,0,0
417106181.yaml,3,0,1,2,0,0,0,0,0,0,0,0
417377057.yaml,44,1,9,34,1,0,0.0,1,1,0,0,0
417455669.yaml,20,7,11,2,2,0,1.4285714285714286,31,23,4,2,2
417558728.yaml,49,20,22,7,8,0,1.4,79,59,10,4,6
418232758.yaml,53,17,21,15,7,0,1.0588235294117647,58,45,6,2,5
418810193.yaml,12,2,5,5,1,0,0.0,3,3,0,0,0
418954713.yaml,5,0,1,4,0,0,0,0,0,0,0,0
419017857.yaml,13,3,6,4,2,0,0.0,4,4,0,0,0
419260260.yaml,26,12,13,1,5,0,2.0,61,43,10,4,4
419360538.yaml,40,12,18,10,4,0,1.0,36,25,5,2,4
419433008.yaml,38,11,19,8,7,0,0.36363636363636365,21,17,2,1,1
419576537.yaml,23,12,7,4,1,0,1.5,69,55,6,3,5
419932459.yaml,42,0,4,38,0,0,0,0,0,0,0,0
420027508.yaml,6,2,3,1,1,0,0.0,3,3,0,0,0
420903665.yaml,4,2,1,1,0,0,1.0,5,3,1,0,1
421622061.yaml,2,1,1,0,0,0,0.0,2,2,0,0,0
421639880.yaml,12,4,6,2,1,0,1.0,14,11,1,1,1
421980632.yaml,46,18,23,5,6,0,1.1111111111111112,82,66,6,4,6
421986582.yaml,22,5,9,8,1,0,0.4,10,8,1,1,0
422117073.yaml,35,4,25,6,1,0,1.0,13,9,2,1,1
422286400.yaml,4,0,1,3,0,0,0,0,0,0,0,0
422656136.yaml,24,9,12,3,3,0,1.1111111111111112,41,33,3,2,3
423173570.yaml,8,2,3,3,1,0,0.0,3,3,0,0,0
423785545.yaml,23,1,16,6,0,0,0.0,2,2,0,0,0
424196178.yaml,3,0,3,0,0,0,0,0,0,0,0,0
424957425.yaml,5,1,3,1,1,0,0.0,1,1,0,0,0
425078174.yaml,47,7,23,17,7,0,0.0,7,7,0,0,0
425203999.yaml,18,5,9,4,1,0,1.2,17,13,2,1,1
425256457.yaml,7,1,4,2,0,0,0.0,4,3,0,1,0
425263761.yaml,1,0,1,0,0,0,0,0,0,0,0,0
425558824.yaml,15,3,7,5,2,0,0.0,5,4,0,1,0
425998118.yaml,30,9,11,10,2,0,1.1111111111111112,35,24,4,4,3
426072511.yaml,5,0,4,1,0,0,0,0,0,0,0,0
426652009.yaml,40,11,26,3,7,0,1.8181818181818181,42,38,3,1,0
426764340.yaml,6,0,1,5,0,0,0,0,0,0,0,0
427346488.yaml,28,2,22,4,1,0,0.0,3,3,0,0,0
427744253.yaml,24,11,11,2,2,0,1.6363636363636365,59,45,7,3,4
427784411.yaml,48,2,8,38,1,0,0.0,3,3,0,0,0
428087322.yaml,19,6,10,3,2,0,1.3333333333333333,14,12,2,0,0
428132154.yaml,38,0,4,34,0,0,0,0,0,0,0,0
429652292.yaml,1,0,1,0,0,0,0,0,0,0,0,0
429783588.yaml,37,13,17,7,3,0,1.6923076923076923,67,51,8,3,5
430615631.yaml,1,0,1,0,0,0,0,0,0,0,0,0
431192661.yaml,32,1,22,9,0,0,0.0,2,2,0,0,0
432235299.yaml,7,2,4,1,1,0,0.0,3,3,0,0,0
432488463.yaml,20,7,9,4,2,0,1.4285714285714286,24,17,4,1,2
432876362.yaml,4,0,1,3,0,0,0,0,0,0,0,0
432985326.yaml,50,0,4,46,0,0,0,0,0,0,0,0
433266632.yaml,5,1,2,2,0,0,0.0,2,2,0,0,0
434386637.yaml,17,2,10,5,0,0,0.0,4,4,0,0,0
434661971.yaml,43,7,26,10,1,0,0.5714285714285714,16,12,2,0,2
435465788.yaml,7,0,1,6,0,0,0,0,0,0,0,0
435472998.yaml,27,7,10,10,3,0,0.5714285714285714,14,11,2,0,1
435508538.yaml,19,6,10,3,2,0,1.0,18,14,2,1,1
435537893.yaml,7,1,4,2,1,0,0.0,1,1,0,0,0
435939717.yaml,1,0,1,0,0,0,0,0,0,0,0,0
436440657.yaml,35,1,3,31,1,0,0.0,1,1,0,0,0
436463240.yaml,17,7,8,2,3,0,0.5714285714285714,20,16,1,2,1
436913443.yaml,40,13,21,6,5,0,1.5384615384615385,65,52,6,3,4
437246939.yaml,1,0,1,0,0,0,0,0,0,0,0,0
437330713.yaml,8,3,5,0,1,0,0.6666666666666666,7,7,0,0,0
437520402.yaml,1,0,1,0,0,0,0,0,0,0,0,0
437749446.yaml,52,23,25,4,8,0,2.5217391304347827,115,85,16,5,9
437778600.yaml,1,0,1,0,0,0,0,0,0,0,0,0
438735697.yaml,1,0,1,0,0,0,0,0,0,0,0,0
438911233.yaml,7,2,4,1,2,0,0.0,2,2,0,0,0
439556493.yaml,27,10,15,2,3,0,1.0,37,28,3,3,3
439609061.yaml,16,6,8,2,2,0,0.6666666666666666,19,15,1,2,1
439653731.yaml,8,1,7,0,0,0,0.0,2,2,0,0,0
439883421.yaml,1,0,1,0,0,0,0,0,0,0,0,0
440267353.yaml,35,1,2,32,1,0,0.0,1,1,0,0,0
440317832.yaml,1,0,1,0,0,0,0,0,0,0,0,0
440835414.yaml,2,1,1,0,0,0,0.0,3,2,0,1,0
441211757.yaml,19,8,8,3,3,0,1.0,22,14,4,1,3
441427551.yaml,19,1,14,4,0,0,0.0,2,2,0,0,0
441512061.yaml,13,0,1,12,0,0,0,0,0,0,0,0
441524356.yaml,19,3,10,6,1,0,0.6666666666666666,4,3,1,0,0
441729044.yaml,1,0,1,0,0,0,0,0,0,0,0,0
441868622.yaml,50,0,5,45,0,0,0,0,0,0,0,0
442418540.yaml,30,0,5,25,0,0,0,0,0,0,0,0
442555418.yaml,41,12,13,16,3,0,1.0,77,68,2,5,2
442609514.yaml,14,5,6,3,1,0,1.2,17,13,2,1,1
442647841.yaml,23,1,5,17,0,2,0.0,2,2,0,0,0
443445329.yaml,8,1,7,0,0,0,0.0,2,2,0,0,0
443507718.yaml,31,9,16,6,5,0,0.6666666666666666,21,17,2,1,1
443521546.yaml,25,8,13,4,4,0,1.0,28,21,4,2,1
443856542.yaml,16,1,7,8,0,0,0.0,4,3,0,1,0
443894046.yaml,1,0,1,0,0,0,0,0,0,0,0,0
444070954.yaml,91,6,30,55,2,0,0.6666666666666666,14,10,2,0,2
444402310.yaml,9,6,3,0,1,0,1.3333333333333333,22,13,4,2,3
444530379.yaml,12,4,6,2,2,0,1.5,17,11,4,1,1
444932009.yaml,23,1,18,4,0,0,0.0,2,2,0,0,0
445022542.yaml,43,12,23,8,4,0,0.8333333333333334,35,25,4,2,4
445244512.yaml,7,2,4,1,1,0,0.0,3,3,0,0,0
445396828.yaml,3,0,1,2,0,0,0,0,0,0,0,0
445683812.yaml,3,2,1,0,0,0,1.0,9,6,1,2,0
446238949.yaml,3,1,2,0,1,0,0.0,1,1,0,0,0
446344431.yaml,19,4,10,5,3,0,0.5,7,6,1,0,0
446897179.yaml,42,11,23,8,4,0,0.9090909090909091,33,23,4,2,4
447144773.yaml,12,1,5,6,1,0,0.0,1,1,0,0,0
447292115.yaml,1,0,1,0,0,0,0,0,0,0,0,0
447445730.yaml,8,1,3,4,1,0,0.0,1,1,0,0,0
447846798.yaml,172,90,75,7,18,0,1.5777777777777777,529,418,45,24,42
447947829.yaml,14,5,7,2,1,0,0.8,18,14,1,2,1
448247923.yaml,15,5,8,2,1,0,1.2,17,13,2,1,1
448393004.yaml,5,0,3,2,0,0,0,0,0,0,0,0
448417912.yaml,3,1,2,0,1,0,0.0,1,1,0,0,0
448650432.yaml,3,1,2,0,0,0,0.0,2,2,0,0,0
449098474.yaml,28,5,12,11,4,0,0.0,8,7,0,1,0
449206215.yaml,5,1,2,2,0,0,0.0,2,2,0,0,0
449305117.yaml,36,16,17,3,3,0,1.375,73,54,8,4,7
449769777.yaml,15,6,7,2,2,0,0.6666666666666666,19,15,1,2,1
449886348.yaml,17,1,12,4,0,0,0.0,2,2,0,0,0
449991960.yaml,18,1,14,3,0,0,0.0,2,2,0,0,0
450014999.yaml,22,1,16,5,0,0,0.0,2,2,0,0,0
450082199.yaml,15,0,1,14,0,6,0,0,0,0,0,0
450213325.yaml,12,3,5,4,0,0,0.6666666666666666,6,4,1,1,0
450454040.yaml,7,1,4,2,1,0,0.0,1,1,0,0,0
450751411.yaml,10,3,5,2,2,0,0.0,4,4,0,0,0
451239171.yaml,23,1,18,4,0,0,0.0,2,2,0,0,0
451526588.yaml,13,5,6,2,1,0,0.8,18,14,1,2,1
451625733.yaml,41,16,23,2,5,0,1.75,80,61,9,3,7
451862381.yaml,22,1,16,5,0,0,0.0,2,2,0,0,0
452125134.yaml,2,1,1,0,0,0,0.0,2,2,0,0,0
452181768.yaml,2,0,1,1,0,0,0,0,0,0,0,0
452377112.yaml,43,1,11,31,0,0,0.0,2,2,0,0,0
452499807.yaml,7,1,2,4,0,0,0.0,2,2,0,0,0
452612321.yaml,3,0,1,2,0,0,0,0,0,0,0,0
452816409.yaml,2,0,1,1,0,0,0,0,0,0,0,0
452857652.yaml,3,1,2,0,1,0,0.0,1,1,0,0,0
453068171.yaml,8,2,5,1,1,0,1.0,5,5,0,0,0
453166849.yaml,1,0,1,0,0,0,0,0,0,0,0,0
453305936.yaml,55,0,5,50,0,0,0,0,0,0,0,0
453945039.yaml,50,15,27,8,5,0,0.9333333333333333,49,36,5,3,5
454012307.yaml,8,3,4,1,2,0,0.0,4,4,0,0,0
454372625.yaml,5,3,2,0,0,0,1.3333333333333333,12,7,2,1,2
454482929.yaml,12,4,6,2,1,0,1.0,14,11,1,1,1
454765288.yaml,29,8,14,7,3,0,0.25,14,12,1,0,1
454776349.yaml,4,0,3,1,0,0,0,0,0,0,0,0
455002023.yaml,1,0,1,0,0,0,0,0,0,0,0,0
455004486.yaml,2,0,1,1,0,0,0,0,0,0,0,0
455573122.yaml,27,8,12,7,3,0,0.75,22,17,2,1,2
455650659.yaml,13,0,0,13,0,0,0,0,0,0,0,0
455731035.yaml,1,0,1,0,0,0,0,0,0,0,0,0
456230245.yaml,8,2,4,2,1,0,0.0,3,3,0,0,0
456271043.yaml,24,0,1,23,0,0,0,0,0,0,0,0
456515581.yaml,1,0,1,0,0,0,0,0,0,0,0,0
456531409.yaml,38,14,18,6,3,0,1.2857142857142858,53,41,7,3,2
456596782.yaml,15,5,8,2,1,0,1.2,17,13,2,1,1
456699615.yaml,33,0,4,29,0,0,0,0,0,0,0,0
457019496.yaml,11,0,1,10,0,0,0,0,0,0,0,0
457058427.yaml,2,0,1,1,0,0,0,0,0,0,0,0
457175649.yaml,5,1,2,2,0,0,0.0,2,2,0,0,0
457276052.yaml,3,0,1,2,0,0,0,0,0,0,0,0
457609189.yaml,21,1,3,17,1,0,0.0,1,1,0,0,0
457897283.yaml,12,2,5,5,2,0,0.0,2,2,0,0,0
458139516.yaml,3,0,2,1,0,0,0,0,0,0,0,0
458180689.yaml,1,0,1,0,0,0,0,0,0,0,0,0
458265311.yaml,1,0,1,0,0,0,0,0,0,0,0,0
458287537.yaml,1,0,1,0,0,0,0,0,0,0,0,0
458696199.yaml,38,0,4,34,0,0,0,0,0,0,0,0
458869343.yaml,12,1,8,3,0,0,0.0,2,2,0,0,0
459389963.yaml,6,1,4,1,1,0,0.0,1,1,0,0,0
459769751.yaml,31,12,17,2,3,0,1.1666666666666667,58,46,4,4,4
459794393.yaml,1,0,1,0,0,0,0,0,0,0,0,0
459849460.yaml,3,1,2,0,1,0,0.0,1,1,0,0,0
459850335.yaml,31,8,15,8,2,0,1.0,32,25,2,3,2
459996413.yaml,1,0,1,0,0,0,0,0,0,0,0,0
460019985.yaml,2,0,1,1,0,0,0,0,0,0,0,0
460161740.yaml,15,6,7,2,2,0,0.6666666666666666,19,15,1,2,1
460591882.yaml,15,6,7,2,2,0,0.6666666666666666,19,15,1,2,1
460657765.yaml,11,2,4,5,1,0,1.0,5,3,1,0,1
461033957.yaml,8,2,4,2,1,0,0.0,3,3,0,0,0
461309629.yaml,23,8,13,2,1,0,1.5,29,21,4,1,3
461340928.yaml,8,0,5,3,0,0,0,0,0,0,0,0
461704957.yaml,19,4,7,8,3,0,0.0,5,5,0,0,0
