benchmark_name,number_of_resources,number_of_supported_resources,number_of_ignored_resources,number_of_unsupported_resources,number_of_lambdas,number_of_ec2,average_graph_degree,number_of_constraints,number_of_basic_constraints,number_of_incoming_constraints,number_of_intrinsic_constraints,number_of_outgoing_constraints
238424538.yaml,11,3,6,2,1,0,0.6666666666666666,4,3,1,0,0
238817270.yaml,5,0,2,3,0,0,0,0,0,0,0,0
239700346.yaml,20,7,10,3,2,0,0.5714285714285714,15,13,1,0,1
239746375.yaml,27,10,12,5,2,0,1.2,36,26,6,2,2
239801033.yaml,23,8,12,3,2,0,1.5,33,25,5,2,1
240212194.yaml,4,0,2,2,0,0,0,0,0,0,0,0
240299945.yaml,4,0,2,2,0,0,0,0,0,0,0,0
242053128.yaml,10,2,4,4,1,0,0.0,3,3,0,0,0
242290328.yaml,8,1,3,4,1,0,0.0,1,1,0,0,0
242430329.yaml,44,19,23,2,5,0,1.263157894736842,79,58,9,4,8
243334432.yaml,15,3,9,3,3,0,0.0,3,3,0,0,0
243645272.yaml,25,2,18,5,0,0,0.0,4,4,0,0,0
244529034.yaml,38,0,4,34,0,0,0,0,0,0,0,0
244779401.yaml,9,2,5,2,1,0,1.0,5,5,0,0,0
244790402.yaml,3,1,1,1,0,0,0.0,2,2,0,0,0
245698671.yaml,6,1,5,0,0,0,0.0,2,2,0,0,0
246738432.yaml,36,4,8,24,0,0,0.0,16,12,0,4,0
247616034.yaml,33,0,3,30,0,0,0,0,0,0,0,0
247663370.yaml,17,0,1,16,0,0,0,0,0,0,0,0
249133168.yaml,41,16,23,2,5,0,1.75,80,61,9,3,7
249198860.yaml,6,1,3,2,1,0,0.0,1,1,0,0,0
249762596.yaml,18,5,9,4,1,0,1.2,31,27,1,2,1
250231134.yaml,18,6,9,3,1,0,1.3333333333333333,26,19,4,2,1
251178825.yaml,5,3,2,0,0,0,1.3333333333333333,12,7,2,1,2
252618550.yaml,34,12,18,4,3,0,1.5,49,37,7,3,2
252771656.yaml,17,0,2,15,0,0,0,0,0,0,0,0
252864961.yaml,17,0,4,13,0,1,0,0,0,0,0,0
253023943.yaml,52,23,24,5,5,0,1.391304347826087,119,93,11,5,10
253278820.yaml,37,0,7,30,0,0,0,0,0,0,0,0
253321389.yaml,17,5,7,5,1,0,1.2,31,27,1,2,1
253640483.yaml,44,0,4,40,0,0,0,0,0,0,0,0
254459376.yaml,30,2,22,6,0,0,0.0,4,4,0,0,0
254481429.yaml,2,1,1,0,0,0,0.0,2,2,0,0,0
255135966.yaml,12,1,6,5,0,0,0.0,2,2,0,0,0
255310045.yaml,21,5,7,9,1,0,0.8,18,14,1,2,1
255639979.yaml,20,2,8,10,0,0,1.0,5,3,1,0,1
255934780.yaml,5,0,3,2,0,0,0,0,0,0,0,0
